function_id,method,seed,run_idx,runtime_seconds
8,pca_bo_dynamic_orthogonal_v2,39,27,2579.845149
8,pca_bo_dynamic_orthogonal_v2,40,28,3455.478194
8,pca_bo_dynamic_orthogonal_v2,41,29,1801.147432
22,botorch_baseline,12,0,107.073527
22,botorch_baseline,13,1,98.439870
22,botorch_baseline,14,2,111.668093
22,botorch_baseline,15,3,95.585229
22,botorch_baseline,16,4,115.862270
22,botorch_baseline,17,5,97.263283
22,botorch_baseline,18,6,100.501389
22,botorch_baseline,19,7,93.337773
22,botorch_baseline,20,8,95.335575
22,botorch_baseline,21,9,88.136353
22,botorch_baseline,22,10,108.338128
22,botorch_baseline,23,11,98.410144
22,botorch_baseline,24,12,112.694545
22,botorch_baseline,25,13,115.550369
22,botorch_baseline,26,14,107.761721
22,botorch_baseline,27,15,87.545497
22,botorch_baseline,28,16,121.831602
22,botorch_baseline,29,17,100.022594
22,botorch_baseline,30,18,96.369609
22,botorch_baseline,31,19,129.404023
22,botorch_baseline,32,20,97.476541
22,botorch_baseline,33,21,109.544947
22,botorch_baseline,34,22,102.992047
22,botorch_baseline,35,23,103.483536
22,botorch_baseline,36,24,96.298640
22,botorch_baseline,37,25,103.019650
22,botorch_baseline,38,26,111.019593
22,botorch_baseline,39,27,97.190291
22,botorch_baseline,40,28,94.257605
22,botorch_baseline,41,29,87.617431
22,pca_bo,12,0,442.981262
22,pca_bo,13,1,1690.035924
22,pca_bo,14,2,2115.226344
22,pca_bo,15,3,1505.391636
22,pca_bo,16,4,473.639839
22,pca_bo,17,5,451.243818
22,pca_bo,18,6,1328.146847
22,pca_bo,19,7,450.351955
22,pca_bo,20,8,871.101204
22,pca_bo,21,9,494.303395
22,pca_bo,22,10,458.458282
22,pca_bo,23,11,1408.699387
22,pca_bo,24,12,1452.907659
22,pca_bo,25,13,2263.651281
22,pca_bo,26,14,290.537829
22,pca_bo,27,15,2256.237076
22,pca_bo,28,16,1620.637792
22,pca_bo,29,17,1173.931186
22,pca_bo,30,18,881.053611
22,pca_bo,31,19,863.020319
22,pca_bo,32,20,805.881328
22,pca_bo,33,21,1580.122133
22,pca_bo,34,22,1476.710845
22,pca_bo,35,23,1706.698017
22,pca_bo,36,24,797.645788
22,pca_bo,37,25,812.092208
22,pca_bo,38,26,551.604217
22,pca_bo,39,27,881.125132
22,pca_bo,40,28,313.362683
22,pca_bo,41,29,2176.875496
22,pca_bo_dynamic_orthogonal_v2,12,0,1710.409844
22,pca_bo_dynamic_orthogonal_v2,13,1,2555.765436
22,pca_bo_dynamic_orthogonal_v2,14,2,3712.525987
22,pca_bo_dynamic_orthogonal_v2,15,3,2406.742657
22,pca_bo_dynamic_orthogonal_v2,16,4,2777.844652
22,pca_bo_dynamic_orthogonal_v2,17,5,3073.297625
22,pca_bo_dynamic_orthogonal_v2,18,6,2397.466209
22,pca_bo_dynamic_orthogonal_v2,19,7,1783.517518
22,pca_bo_dynamic_orthogonal_v2,20,8,2498.429998
22,pca_bo_dynamic_orthogonal_v2,21,9,3170.544963
22,pca_bo_dynamic_orthogonal_v2,22,10,1964.404213
22,pca_bo_dynamic_orthogonal_v2,23,11,2151.463640
22,pca_bo_dynamic_orthogonal_v2,24,12,1542.386963
22,pca_bo_dynamic_orthogonal_v2,25,13,2787.538400
22,pca_bo_dynamic_orthogonal_v2,26,14,3563.964582
22,pca_bo_dynamic_orthogonal_v2,27,15,3044.068873
22,pca_bo_dynamic_orthogonal_v2,28,16,3068.947369
